City_ID,City,Country,Lat,Lng,Maximum Hemperature,Percent Humidity,Percent Cloudiness,Wind Speed,Weather description
288,Santa Rosa,PH,14.31,121.11,93.99,58,93,9.17,light rain
289,Tiznit,MA,29.58,-9.5,75.4,40,0,1.16,clear sky
290,Kaitangata,NZ,-46.28,169.85,46.99,86,63,1.01,light rain
291,Chabahar,IR,25.29,60.64,91.4,66,40,9.17,scattered clouds
292,Provideniya,RU,64.38,-173.3,50.0,71,75,8.95,broken clouds
293,Komsomolskiy,UZ,40.43,71.72,87.8,25,0,11.41,clear sky
294,Hushitai,CN,41.93,123.51,87.8,66,75,11.18,broken clouds
295,Cap Malheureux,MU,-19.98,57.61,72.0,59,30,11.99,scattered clouds
296,Broken Hill,AU,-31.95,141.43,68.0,22,100,9.17,overcast clouds
297,Krotovka,RU,53.29,51.17,68.47,62,85,3.36,overcast clouds
298,Ikom,NG,5.97,8.71,71.58,96,100,2.1,overcast clouds
299,Seymchan,RU,62.88,152.43,67.95,38,54,7.16,broken clouds
300,Lata,PT,40.16,-8.33,62.01,95,100,5.99,overcast clouds
301,Vila Franca Do Campo,PT,37.72,-25.43,69.8,77,40,6.93,scattered clouds
302,Makarov,RU,48.63,142.8,56.14,88,100,6.91,overcast clouds
303,Ulladulla,AU,-35.35,150.47,68.0,30,100,17.22,overcast clouds
304,Beirut,LB,33.89,35.49,80.6,74,0,3.36,clear sky
305,Asau,RO,46.43,26.4,66.99,66,64,3.71,broken clouds
306,Osmena,PH,10.52,119.93,85.19,65,100,3.94,overcast clouds
307,Cidreira,BR,-30.18,-50.21,60.94,84,9,2.86,clear sky
308,Gat,IL,31.61,34.76,86.0,34,0,1.01,clear sky
309,Kisangani,CD,0.52,25.2,68.0,100,75,4.7,mist
310,Paoua,CF,7.24,16.44,69.4,91,99,1.43,overcast clouds
311,Eureka,US,40.8,-124.16,59.0,93,1,3.44,clear sky
312,Alvik,SE,60.75,14.87,59.0,100,75,5.82,broken clouds
313,Rio De Janeiro,BR,-22.9,-43.21,60.8,82,1,2.24,clear sky
314,San Francisco,US,37.77,-122.42,64.4,72,1,11.41,clear sky
315,Salym,RU,60.06,71.48,87.26,44,0,10.13,clear sky
316,Great Yarmouth,GB,52.61,1.73,60.01,99,99,1.01,overcast clouds
317,Neiafu,TO,-18.65,-173.98,77.0,83,75,4.7,broken clouds
318,Kimbe,PG,-5.55,150.14,86.38,70,38,6.76,moderate rain
319,Makhachkala,RU,42.98,47.5,69.8,73,40,24.61,scattered clouds
320,Gandara,PH,12.01,124.81,89.78,63,92,1.57,light rain
321,Xinmin,CN,41.99,122.83,87.8,66,75,11.18,broken clouds
322,Santa Cruz,BO,-17.8,-63.17,64.4,82,4,6.93,clear sky
323,Pauini,BR,-7.71,-66.98,70.41,64,22,0.51,few clouds
324,Constitucion,CL,-35.33,-72.42,52.36,89,39,3.06,scattered clouds
325,Bushehr,IR,28.97,50.84,96.8,63,14,4.7,haze
326,Khash,IR,28.22,61.22,93.4,12,7,1.92,clear sky
327,Hamilton,US,39.18,-84.53,70.0,93,1,3.38,mist
328,Braganca,BR,-1.05,-46.77,72.34,97,6,1.61,clear sky
329,Lerwick,GB,60.15,-1.15,51.8,93,20,13.87,few clouds
330,Svobodnyy,RU,51.4,128.13,74.88,80,100,11.86,moderate rain
331,Yulara,AU,-25.24,130.99,80.6,6,0,12.75,clear sky
332,Malakal,SS,9.53,31.66,76.28,87,63,3.31,broken clouds
333,Rundu,NA,-17.93,19.77,49.24,48,0,5.06,clear sky
334,Zhuanghe,CN,39.7,122.99,80.91,86,100,9.35,moderate rain
335,Inongo,CD,-1.95,18.27,69.73,87,68,3.44,light rain
336,Ponnani,IN,10.77,75.93,82.4,78,75,14.99,mist
337,Aykhal,RU,66.0,111.5,80.6,19,83,2.24,broken clouds
338,Balakhta,RU,55.38,91.6,74.44,58,97,5.46,overcast clouds
339,Prijepolje,RS,43.37,19.64,64.4,68,0,3.36,clear sky
340,Kibala,TD,9.11,18.35,71.53,94,100,2.15,overcast clouds
341,Mecca,SA,21.43,39.83,92.01,46,61,6.04,broken clouds
342,Zhigansk,RU,66.77,123.37,69.78,37,68,14.34,broken clouds
343,Vestmannaeyjar,IS,63.44,-20.27,50.16,87,35,16.22,scattered clouds
344,Cangzhou,CN,38.32,116.87,97.84,43,99,6.69,overcast clouds
345,Kohlu,PK,29.9,69.25,95.58,21,0,12.48,clear sky
346,Khandyga,RU,62.67,135.6,80.87,26,14,5.26,few clouds
347,Olafsvik,IS,64.89,-23.71,46.42,87,34,10.96,scattered clouds
348,Abong Mbang,CM,3.98,13.18,67.21,93,99,4.81,overcast clouds
349,Nome,US,64.5,-165.41,64.4,63,1,8.05,clear sky
350,Nemuro,JP,43.32,145.57,75.2,73,75,12.75,broken clouds
351,Kuala Terengganu,MY,5.33,103.14,86.0,79,20,3.36,few clouds
352,Toyooka,JP,35.53,134.83,87.8,66,75,6.93,broken clouds
353,Isangel,VU,-19.55,169.27,69.84,65,2,10.51,clear sky
354,Ulaangom,MN,49.98,92.07,69.42,42,5,6.98,clear sky
355,Leningradskiy,RU,69.38,178.42,39.18,90,100,9.06,light rain
356,Satana,IN,20.58,74.2,83.97,71,96,9.42,light rain
357,San Jose,US,37.34,-121.89,68.0,63,20,4.7,smoke
358,Katete,UG,-0.78,29.75,72.86,34,19,3.62,few clouds
359,Steubenville,US,40.37,-80.63,66.2,82,1,3.36,clear sky
360,Hoi An,VN,15.88,108.33,93.2,49,75,6.93,broken clouds
361,Kiruna,SE,67.86,20.23,53.6,71,74,6.93,broken clouds
